
Setup Complete!
Timer Setup Complete!
SPI Setup Complete!
CAN Setup Complete!
Yes it has connected Successfully!There are 4 devices!
Contactor turned ON.....!UV Limit set to = 1.0
OV_limit set to = 3.500
OVTF limit set to = 40degreeC,,,,Device1,,,,,,,,,,Device2,,,,,,,,,,Device3,,,,,,,,,,Device4,,,,,,
Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW,,Vcmin,Vcmax,Vpack,Tmin,Tmax,OT,UV,OV,OW
1.306,1.314,15.702,29.57,29.722,0,0,0,0,,1.306,1.314,15.707,31.178,31.585,0,0,0,0,,1.306,1.314,15.804,31.561,32.108,0,0,0,0,,1.306,1.314,15.780,30.740,31.71,0,0,0,0,
1.305,1.312,15.688,29.57,29.722,0,0,0,0,,1.305,1.312,15.707,31.178,31.585,0,0,0,0,,1.305,1.312,15.804,31.561,32.108,0,0,0,0,,1.305,1.312,15.780,30.740,31.71,0,0,0,0,
1.305,1.312,15.688,29.57,29.722,0,0,0,0,,1.305,1.312,15.707,31.178,31.585,0,0,0,0,,1.305,1.312,15.814,31.561,32.108,0,0,0,0,,1.305,1.312,15.780,30.740,31.59,0,0,0,0,
1.305,1.312,15.688,29.57,29.722,0,0,0,0,,1.305,1.312,15.707,31.178,31.585,0,0,0,0,,1.305,1.312,15.814,31.561,32.108,0,0,0,0,,1.305,1.312,15.760,30.740,31.59,0,0,0,0,
1.305,1.312,15.688,29.57,29.722,0,0,0,0,,1.305,1.312,15.707,31.178,31.585,0,0,0,0,,1.305,1.312,15.814,31.561,32.108,0,0,0,0,,1.305,1.312,15.760,30.740,31.59,0,0,0,0,
1.305,1.312,15.688,29.68,29.722,0,0,0,0,,1.305,1.312,15.707,31.178,31.585,0,0,0,0,,1.305,1.312,15.814,31.561,32.108,0,0,0,0,,1.305,1.312,15.760,30.740,31.59,0,0,0,0,
1.305,1.313,15.688,29.68,29.722,0,0,0,0,,1.305,1.313,15.692,31.178,31.573,0,0,0,0,,1.305,1.313,15.814,31.561,32.108,0,0,0,0,,1.305,1.313,15.760,30.740,31.59,0,0,0,0,
1.305,1.313,15.688,29.68,29.722,0,0,0,0,,1.305,1.313,15.692,31.178,31.573,0,0,0,0,,1.305,1.313,15.522,31.549,32.108,0,0,0,0,,1.305,1.313,15.760,30.740,31.59,0,0,0,0,
1.305,1.313,15.688,29.68,29.722,0,0,0,0,,1.305,1.313,15.692,31.178,31.573,0,0,0,0,,1.305,1.313,15.522,31.549,32.108,0,0,0,0,,1.305,1.313,15.775,30.740,31.71,0,0,0,0,
1.305,1.313,15.688,29.68,29.722,0,0,0,0,,1.305,1.313,15.692,31.178,31.573,0,0,0,0,,1.305,1.313,15.522,31.549,32.108,0,0,0,0,,1.305,1.313,15.775,30.740,31.71,0,0,0,0,
1.305,1.313,15.688,29.57,29.722,0,0,0,0,,1.305,1.313,15.692,31.178,31.573,0,0,0,0,,1.305,1.313,15.522,31.549,32.108,0,0,0,0,,1.305,1.313,15.775,30.740,31.71,0,0,0,0,
1.306,1.314,15.707,29.57,29.722,0,0,0,0,,1.306,1.314,15.663,31.178,31.573,0,0,0,0,,1.306,1.314,15.522,31.549,32.108,0,0,0,0,,1.306,1.314,15.775,30.740,31.71,0,0,0,0,
1.306,1.314,15.707,29.57,29.722,0,0,0,0,,1.306,1.314,15.663,31.178,31.573,0,0,0,0,,1.306,1.314,15.804,31.537,32.95,0,0,0,0,,1.306,1.314,15.775,30.740,31.71,0,0,0,0,
1.306,1.314,15.707,29.57,29.722,0,0,0,0,,1.306,1.314,15.663,31.178,31.573,0,0,0,0,,1.306,1.314,15.804,31.537,32.95,0,0,0,0,,1.306,1.314,15.760,30.740,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.722,0,0,0,0,,1.306,1.314,15.663,31.178,31.573,0,0,0,0,,1.306,1.314,15.804,31.537,32.95,0,0,0,0,,1.306,1.314,15.760,30.740,31.59,0,0,0,0,
1.306,1.314,15.707,29.68,29.722,0,0,0,0,,1.306,1.314,15.663,31.178,31.573,0,0,0,0,,1.306,1.314,15.804,31.537,32.95,0,0,0,0,,1.306,1.314,15.760,30.740,31.59,0,0,0,0,
1.304,1.313,15.688,29.68,29.722,0,0,0,0,,1.304,1.313,15.444,31.178,31.573,0,0,0,0,,1.304,1.313,15.804,31.537,32.95,0,0,0,0,,1.304,1.313,15.760,30.740,31.59,0,0,0,0,
1.304,1.313,15.688,29.68,29.722,0,0,0,0,,1.304,1.313,15.444,31.178,31.573,0,0,0,0,,1.304,1.313,15.785,31.537,32.95,0,0,0,0,,1.304,1.313,15.760,30.740,31.59,0,0,0,0,
1.304,1.313,15.688,29.68,29.722,0,0,0,0,,1.304,1.313,15.444,31.178,31.573,0,0,0,0,,1.304,1.313,15.785,31.537,32.95,0,0,0,0,,1.304,1.313,15.498,30.728,31.59,0,0,0,0,
1.304,1.313,15.688,29.68,29.722,0,0,0,0,,1.304,1.313,15.444,31.178,31.573,0,0,0,0,,1.304,1.313,15.785,31.537,32.95,0,0,0,0,,1.304,1.313,15.498,30.728,31.59,0,0,0,0,
1.304,1.313,15.688,29.68,29.722,0,0,0,0,,1.304,1.313,15.444,31.178,31.573,0,0,0,0,,1.304,1.313,15.785,31.537,32.95,0,0,0,0,,1.304,1.313,15.498,30.728,31.59,0,0,0,0,
1.304,1.313,15.527,29.68,29.722,0,0,0,0,,1.304,1.313,15.697,31.178,31.573,0,0,0,0,,1.304,1.313,15.785,31.537,32.95,0,0,0,0,,1.304,1.313,15.498,30.728,31.59,0,0,0,0,
1.304,1.313,15.527,29.68,29.722,0,0,0,0,,1.304,1.313,15.697,31.178,31.573,0,0,0,0,,1.304,1.313,15.653,31.525,32.95,0,0,0,0,,1.304,1.313,15.498,30.728,31.59,0,0,0,0,
1.304,1.313,15.527,29.68,29.722,0,0,0,0,,1.304,1.313,15.697,31.178,31.573,0,0,0,0,,1.304,1.313,15.653,31.525,32.95,0,0,0,0,,1.304,1.313,15.765,30.728,31.59,0,0,0,0,
1.304,1.313,15.527,29.68,29.722,0,0,0,0,,1.304,1.313,15.697,31.178,31.573,0,0,0,0,,1.304,1.313,15.653,31.525,32.95,0,0,0,0,,1.304,1.313,15.765,30.728,31.59,0,0,0,0,
1.304,1.313,15.527,29.57,29.711,0,0,0,0,,1.304,1.313,15.697,31.178,31.573,0,0,0,0,,1.304,1.313,15.653,31.525,32.95,0,0,0,0,,1.304,1.313,15.765,30.728,31.59,0,0,0,0,
1.306,1.315,15.707,29.57,29.711,0,0,0,0,,1.306,1.315,15.707,31.166,31.561,0,0,0,0,,1.306,1.315,15.653,31.525,32.95,0,0,0,0,,1.306,1.315,15.765,30.728,31.59,0,0,0,0,
1.306,1.315,15.707,29.57,29.711,0,0,0,0,,1.306,1.315,15.707,31.166,31.561,0,0,0,0,,1.306,1.315,15.795,31.525,32.95,0,0,0,0,,1.306,1.315,15.765,30.728,31.59,0,0,0,0,
1.306,1.315,15.707,29.57,29.711,0,0,0,0,,1.306,1.315,15.707,31.166,31.561,0,0,0,0,,1.306,1.315,15.795,31.525,32.95,0,0,0,0,,1.306,1.315,15.561,30.728,31.59,0,0,0,0,
1.306,1.315,15.707,29.57,29.711,0,0,0,0,,1.306,1.315,15.707,31.166,31.561,0,0,0,0,,1.306,1.315,15.795,31.525,32.95,0,0,0,0,,1.306,1.315,15.561,30.728,31.59,0,0,0,0,
1.306,1.315,15.707,29.57,29.711,0,0,0,0,,1.306,1.315,15.707,31.166,31.561,0,0,0,0,,1.306,1.315,15.795,31.525,32.95,0,0,0,0,,1.306,1.315,15.561,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.166,31.561,0,0,0,0,,1.306,1.314,15.795,31.525,32.95,0,0,0,0,,1.306,1.314,15.561,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.166,31.561,0,0,0,0,,1.306,1.314,15.819,31.537,32.83,0,0,0,0,,1.306,1.314,15.561,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.166,31.561,0,0,0,0,,1.306,1.314,15.819,31.537,32.83,0,0,0,0,,1.306,1.314,15.760,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.166,31.561,0,0,0,0,,1.306,1.314,15.819,31.537,32.83,0,0,0,0,,1.306,1.314,15.760,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.700,0,0,0,0,,1.306,1.314,15.707,31.166,31.561,0,0,0,0,,1.306,1.314,15.819,31.537,32.83,0,0,0,0,,1.306,1.314,15.760,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.819,31.537,32.83,0,0,0,0,,1.306,1.314,15.760,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.795,31.525,32.83,0,0,0,0,,1.306,1.314,15.760,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.795,31.525,32.83,0,0,0,0,,1.306,1.314,15.780,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.795,31.525,32.83,0,0,0,0,,1.306,1.314,15.780,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.795,31.525,32.83,0,0,0,0,,1.306,1.314,15.780,30.728,31.59,0,0,0,0,
1.305,1.314,15.702,29.57,29.711,0,0,0,0,,1.305,1.314,15.707,31.166,31.561,0,0,0,0,,1.305,1.314,15.795,31.525,32.83,0,0,0,0,,1.305,1.314,15.780,30.728,31.59,0,0,0,0,
1.305,1.314,15.702,29.57,29.711,0,0,0,0,,1.305,1.314,15.707,31.166,31.561,0,0,0,0,,1.305,1.314,15.804,31.525,32.83,0,0,0,0,,1.305,1.314,15.780,30.728,31.59,0,0,0,0,
1.305,1.314,15.702,29.57,29.711,0,0,0,0,,1.305,1.314,15.707,31.166,31.561,0,0,0,0,,1.305,1.314,15.804,31.525,32.83,0,0,0,0,,1.305,1.314,15.780,30.728,31.59,0,0,0,0,
1.305,1.314,15.702,29.57,29.711,0,0,0,0,,1.305,1.314,15.707,31.166,31.561,0,0,0,0,,1.305,1.314,15.804,31.525,32.83,0,0,0,0,,1.305,1.314,15.780,30.728,31.59,0,0,0,0,
1.305,1.314,15.702,29.57,29.711,0,0,0,0,,1.305,1.314,15.707,31.166,31.561,0,0,0,0,,1.305,1.314,15.804,31.525,32.83,0,0,0,0,,1.305,1.314,15.780,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.711,0,0,0,0,,1.306,1.314,15.474,31.154,31.549,0,0,0,0,,1.306,1.314,15.804,31.525,32.83,0,0,0,0,,1.306,1.314,15.780,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.711,0,0,0,0,,1.306,1.314,15.474,31.154,31.549,0,0,0,0,,1.306,1.314,15.799,31.525,32.83,0,0,0,0,,1.306,1.314,15.780,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.711,0,0,0,0,,1.306,1.314,15.474,31.154,31.549,0,0,0,0,,1.306,1.314,15.799,31.525,32.83,0,0,0,0,,1.306,1.314,15.775,30.728,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.711,0,0,0,0,,1.306,1.314,15.474,31.154,31.549,0,0,0,0,,1.306,1.314,15.799,31.525,32.83,0,0,0,0,,1.306,1.314,15.775,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.474,31.154,31.549,0,0,0,0,,1.306,1.314,15.799,31.525,32.83,0,0,0,0,,1.306,1.314,15.775,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.799,31.525,32.83,0,0,0,0,,1.306,1.314,15.775,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.804,31.537,32.83,0,0,0,0,,1.306,1.314,15.775,30.728,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.804,31.537,32.83,0,0,0,0,,1.306,1.314,15.780,30.717,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.711,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.804,31.537,32.83,0,0,0,0,,1.306,1.314,15.780,30.717,31.59,0,0,0,0,
1.306,1.314,15.702,29.57,29.700,0,0,0,0,,1.306,1.314,15.707,31.154,31.549,0,0,0,0,,1.306,1.314,15.804,31.537,32.83,0,0,0,0,,1.306,1.314,15.780,30.717,31.59,0,0,0,0,
1.305,1.313,15.459,29.57,29.700,0,0,0,0,,1.305,1.313,15.702,31.154,31.549,0,0,0,0,,1.305,1.313,15.804,31.537,32.83,0,0,0,0,,1.305,1.313,15.780,30.717,31.59,0,0,0,0,
1.305,1.313,15.459,29.57,29.700,0,0,0,0,,1.305,1.313,15.702,31.154,31.549,0,0,0,0,,1.305,1.313,15.605,31.525,32.83,0,0,0,0,,1.305,1.313,15.780,30.717,31.59,0,0,0,0,
1.305,1.313,15.459,29.57,29.700,0,0,0,0,,1.305,1.313,15.702,31.154,31.549,0,0,0,0,,1.305,1.313,15.605,31.525,32.83,0,0,0,0,,1.305,1.313,15.634,30.728,31.47,0,0,0,0,
1.305,1.313,15.459,29.57,29.700,0,0,0,0,,1.305,1.313,15.702,31.154,31.549,0,0,0,0,,1.305,1.313,15.605,31.525,32.83,0,0,0,0,,1.305,1.313,15.634,30.728,31.47,0,0,0,0,
1.305,1.313,15.459,29.46,29.700,0,0,0,0,,1.305,1.313,15.702,31.154,31.549,0,0,0,0,,1.305,1.313,15.605,31.525,32.83,0,0,0,0,,1.305,1.313,15.634,30.728,31.47,0,0,0,0,
1.305,1.312,15.692,29.46,29.700,0,0,0,0,,1.305,1.312,15.707,31.142,31.549,0,0,0,0,,1.305,1.312,15.605,31.525,32.83,0,0,0,0,,1.305,1.312,15.634,30.728,31.47,0,0,0,0,
1.305,1.312,15.692,29.46,29.700,0,0,0,0,,1.305,1.312,15.707,31.142,31.549,0,0,0,0,,1.305,1.312,15.804,31.513,32.71,0,0,0,0,,1.305,1.312,15.634,30.728,31.47,0,0,0,0,
1.305,1.312,15.692,29.46,29.700,0,0,0,0,,1.305,1.312,15.707,31.142,31.549,0,0,0,0,,1.305,1.312,15.804,31.513,32.71,0,0,0,0,,1.305,1.312,15.415,30.717,31.47,0,0,0,0,
1.305,1.312,15.692,29.46,29.700,0,0,0,0,,1.305,1.312,15.707,31.142,31.549,0,0,0,0,,1.305,1.312,15.804,31.513,32.71,0,0,0,0,,1.305,1.312,15.415,30.717,31.47,0,0,0,0,
1.305,1.312,15.692,29.46,29.700,0,0,0,0,,1.305,1.312,15.707,31.142,31.549,0,0,0,0,,1.305,1.312,15.804,31.513,32.71,0,0,0,0,,1.305,1.312,15.415,30.717,31.47,0,0,0,0,
1.306,1.314,15.707,29.46,29.700,0,0,0,0,,1.306,1.314,15.712,31.154,31.537,0,0,0,0,,1.306,1.314,15.804,31.513,32.71,0,0,0,0,,1.306,1.314,15.415,30.717,31.47,0,0,0,0,
1.306,1.314,15.707,29.46,29.700,0,0,0,0,,1.306,1.314,15.712,31.154,31.537,0,0,0,0,,1.306,1.314,15.795,31.513,32.71,0,0,0,0,,1.306,1.314,15.415,30.717,31.47,0,0,0,0,
1.306,1.314,15.707,29.46,29.700,0,0,0,0,,1.306,1.314,15.712,31.154,31.537,0,0,0,0,,1.306,1.314,15.795,31.513,32.71,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.707,29.46,29.700,0,0,0,0,,1.306,1.314,15.712,31.154,31.537,0,0,0,0,,1.306,1.314,15.795,31.513,32.71,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.707,29.46,29.688,0,0,0,0,,1.306,1.314,15.712,31.154,31.537,0,0,0,0,,1.306,1.314,15.795,31.513,32.71,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.315,15.712,29.46,29.688,0,0,0,0,,1.306,1.315,15.688,31.142,31.537,0,0,0,0,,1.306,1.315,15.795,31.513,32.71,0,0,0,0,,1.306,1.315,15.775,30.717,31.59,0,0,0,0,
1.306,1.315,15.712,29.46,29.688,0,0,0,0,,1.306,1.315,15.688,31.142,31.537,0,0,0,0,,1.306,1.315,15.804,31.513,32.71,0,0,0,0,,1.306,1.315,15.775,30.717,31.59,0,0,0,0,
1.306,1.315,15.712,29.46,29.688,0,0,0,0,,1.306,1.315,15.688,31.142,31.537,0,0,0,0,,1.306,1.315,15.804,31.513,32.71,0,0,0,0,,1.306,1.315,15.775,30.705,31.47,0,0,0,0,
1.306,1.315,15.712,29.46,29.688,0,0,0,0,,1.306,1.315,15.688,31.142,31.537,0,0,0,0,,1.306,1.315,15.804,31.513,32.71,0,0,0,0,,1.306,1.315,15.775,30.705,31.47,0,0,0,0,
1.306,1.315,15.712,29.57,29.700,0,0,0,0,,1.306,1.315,15.688,31.142,31.537,0,0,0,0,,1.306,1.315,15.804,31.513,32.71,0,0,0,0,,1.306,1.315,15.775,30.705,31.47,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.702,31.142,31.537,0,0,0,0,,1.306,1.314,15.804,31.513,32.71,0,0,0,0,,1.306,1.314,15.775,30.705,31.47,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.702,31.142,31.537,0,0,0,0,,1.306,1.314,15.799,31.501,32.59,0,0,0,0,,1.306,1.314,15.775,30.705,31.47,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.702,31.142,31.537,0,0,0,0,,1.306,1.314,15.799,31.501,32.59,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.707,29.57,29.700,0,0,0,0,,1.306,1.314,15.702,31.142,31.537,0,0,0,0,,1.306,1.314,15.799,31.501,32.59,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.707,29.46,29.700,0,0,0,0,,1.306,1.314,15.702,31.142,31.537,0,0,0,0,,1.306,1.314,15.799,31.501,32.59,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.697,29.46,29.700,0,0,0,0,,1.306,1.314,15.474,31.142,31.525,0,0,0,0,,1.306,1.314,15.799,31.501,32.59,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.697,29.46,29.700,0,0,0,0,,1.306,1.314,15.474,31.142,31.525,0,0,0,0,,1.306,1.314,15.804,31.501,32.59,0,0,0,0,,1.306,1.314,15.775,30.717,31.59,0,0,0,0,
1.306,1.314,15.697,29.46,29.700,0,0,0,0,,1.306,1.314,15.474,31.142,31.525,0,0,0,0,,1.306,1.314,15.804,31.501,32.59,0,0,0,0,,1.306,1.314,15.780,30.717,31.47,0,0,0,0,
1.306,1.314,15.697,29.46,29.700,0,0,0,0,,1.306,1.314,15.474,31.142,31.525,0,0,0,0,,1.306,1.314,15.804,31.501,32.59,0,0,0,0,,1.306,1.314,15.780,30.717,31.47,0,0,0,0,
1.306,1.314,15.697,29.46,29.688,0,0,0,0,,1.306,1.314,15.474,31.142,31.525,0,0,0,0,,1.306,1.314,15.804,31.501,32.59,0,0,0,0,,1.306,1.314,15.780,30.717,31.47,0,0,0,0,
1.306,1.314,15.707,29.46,29.688,0,0,0,0,,1.306,1.314,15.697,31.130,31.537,0,0,0,0,,1.306,1.314,15.804,31.501,32.59,0,0,0,0,,1.306,1.314,15.780,30.717,31.47,0,0,0,0,
1.306,1.314,15.707,29.46,29.688,0,0,0,0,,1.306,1.314,15.697,31.130,31.537,0,0,0,0,,1.306,1.314,15.790,31.501,32.46,0,0,0,0,,1.306,1.314,15.780,30.717,31.47,0,0,0,0,
1.306,1.314,15.707,29.46,29.688,0,0,0,0,,1.306,1.314,15.697,31.130,31.537,0,0,0,0,,1.306,1.314,15.790,31.501,32.46,0,0,0,0,,1.306,1.314,15.770,30.717,31.35,0,0,0,0,
